# x_m,y_m,w_tr_right_m,w_tr_left_m
57.613,-59.678,1.500,1.500
57.500,-60.672,1.500,1.500
57.420,-61.670,1.500,1.500
57.373,-62.670,1.500,1.500
57.359,-63.671,1.500,1.500
57.377,-64.672,1.500,1.500
57.429,-65.672,1.500,1.500
57.513,-66.670,1.500,1.500
57.630,-67.664,1.500,1.500
57.774,-68.655,1.500,1.500
57.924,-69.645,1.500,1.500
58.073,-70.635,1.500,1.500
58.222,-71.625,1.500,1.500
58.371,-72.614,1.500,1.500
58.521,-73.604,1.500,1.500
58.670,-74.594,1.500,1.500
58.819,-75.584,1.500,1.500
58.968,-76.574,1.500,1.500
59.118,-77.564,1.500,1.500
59.270,-78.554,1.500,1.500
59.424,-79.543,1.500,1.500
59.581,-80.532,1.500,1.500
59.739,-81.520,1.500,1.500
59.899,-82.509,1.500,1.500
60.061,-83.497,1.500,1.500
60.225,-84.484,1.500,1.500
60.391,-85.471,1.500,1.500
60.559,-86.458,1.500,1.500
60.729,-87.445,1.500,1.500
60.901,-88.431,1.500,1.500
61.075,-89.417,1.500,1.500
61.250,-90.403,1.500,1.500
61.428,-91.388,1.500,1.500
61.608,-92.373,1.500,1.500
61.790,-93.357,1.500,1.500
61.974,-94.341,1.500,1.500
62.159,-95.325,1.500,1.500
62.347,-96.309,1.500,1.500
62.537,-97.292,1.500,1.500
62.728,-98.274,1.500,1.500
62.920,-99.257,1.500,1.500
63.112,-100.239,1.500,1.500
63.304,-101.222,1.500,1.500
63.496,-102.205,1.500,1.500
63.687,-103.187,1.500,1.500
63.879,-104.170,1.500,1.500
64.071,-105.152,1.500,1.500
64.263,-106.135,1.500,1.500
64.455,-107.118,1.500,1.500
64.647,-108.100,1.500,1.500
64.838,-109.083,1.500,1.500
65.030,-110.065,1.500,1.500
65.222,-111.048,1.500,1.500
65.399,-112.033,1.500,1.500
65.549,-113.023,1.500,1.500
65.673,-114.017,1.500,1.500
65.770,-115.013,1.500,1.500
65.841,-116.012,1.500,1.500
65.885,-117.012,1.500,1.500
65.902,-118.013,1.500,1.500
65.893,-119.014,1.500,1.500
65.858,-120.014,1.500,1.500
65.795,-121.014,1.500,1.500
65.706,-122.011,1.500,1.500
65.591,-123.005,1.500,1.500
65.449,-123.996,1.500,1.500
65.280,-124.983,1.500,1.500
65.086,-125.965,1.500,1.500
64.865,-126.942,1.500,1.500
64.619,-127.912,1.500,1.500
64.347,-128.875,1.500,1.500
64.049,-129.831,1.500,1.500
63.726,-130.779,1.500,1.500
63.377,-131.717,1.500,1.500
63.004,-132.646,1.500,1.500
62.607,-133.565,1.500,1.500
62.185,-134.473,1.500,1.500
61.738,-135.369,1.500,1.500
61.269,-136.253,1.500,1.500
60.776,-137.125,1.500,1.500
60.259,-137.982,1.500,1.500
59.721,-138.826,1.500,1.500
59.159,-139.655,1.500,1.500
58.576,-140.469,1.500,1.500
57.972,-141.267,1.500,1.500
57.347,-142.049,1.500,1.500
56.700,-142.813,1.500,1.500
56.041,-143.567,1.500,1.500
55.392,-144.329,1.500,1.500
54.758,-145.104,1.500,1.500
54.138,-145.890,1.500,1.500
53.534,-146.688,1.500,1.500
52.945,-147.498,1.500,1.500
52.371,-148.318,1.500,1.500
51.813,-149.149,1.500,1.500
51.270,-149.991,1.500,1.500
50.744,-150.842,1.500,1.500
50.233,-151.703,1.500,1.500
49.739,-152.574,1.500,1.500
49.262,-153.454,1.500,1.500
48.801,-154.343,1.500,1.500
48.357,-155.240,1.500,1.500
47.930,-156.146,1.500,1.500
47.520,-157.059,1.500,1.500
47.128,-157.980,1.500,1.500
46.753,-158.909,1.500,1.500
46.396,-159.844,1.500,1.500
46.056,-160.785,1.500,1.500
45.734,-161.733,1.500,1.500
45.430,-162.687,1.500,1.500
45.144,-163.647,1.500,1.500
44.876,-164.611,1.500,1.500
44.627,-165.581,1.500,1.500
44.396,-166.555,1.500,1.500
